order_id,postal_prefix,region,sku_id,order_hour,scenario
ORD000000,41,비수도권,SKU0032,21,normal
ORD000001,75,비수도권,SKU0036,12,normal
ORD000002,8,수도권,SKU0043,15,normal
ORD000003,18,수도권,SKU0099,12,normal
ORD000004,23,비수도권,SKU0032,8,normal
ORD000005,58,비수도권,SKU0052,22,normal
ORD000006,2,수도권,SKU0054,17,normal
ORD000007,99,비수도권,SKU0078,15,normal
ORD000008,17,수도권,SKU0052,19,normal
ORD000009,10,수도권,SKU0061,11,normal
ORD000010,79,비수도권,SKU0076,7,normal
ORD000011,55,비수도권,SKU0011,0,normal
ORD000012,91,비수도권,SKU0097,12,normal
ORD000013,12,수도권,SKU0085,21,normal
ORD000014,20,비수도권,SKU0039,18,normal
ORD000015,23,비수도권,SKU0073,12,normal
ORD000016,96,비수도권,SKU0077,2,normal
ORD000017,3,수도권,SKU0086,0,normal
ORD000018,11,수도권,SKU0019,13,normal
ORD000019,7,수도권,SKU0071,23,normal
ORD000020,10,수도권,SKU0004,20,normal
ORD000021,17,수도권,SKU0012,0,normal
ORD000022,13,수도권,SKU0078,4,normal
ORD000023,14,수도권,SKU0082,4,normal
ORD000024,72,비수도권,SKU0060,10,normal
ORD000025,87,비수도권,SKU0059,18,normal
ORD000026,3,수도권,SKU0075,11,normal
ORD000027,8,수도권,SKU0091,7,normal
ORD000028,41,비수도권,SKU0043,9,normal
ORD000029,13,수도권,SKU0012,17,normal
ORD000030,9,수도권,SKU0084,8,normal
ORD000031,11,수도권,SKU0035,10,normal
ORD000032,12,수도권,SKU0014,4,normal
ORD000033,73,비수도권,SKU0062,23,normal
ORD000034,5,수도권,SKU0058,12,normal
ORD000035,48,비수도권,SKU0048,12,normal
ORD000036,20,비수도권,SKU0086,23,normal
ORD000037,11,수도권,SKU0028,3,normal
ORD000038,15,수도권,SKU0002,16,normal
ORD000039,9,수도권,SKU0033,13,normal
ORD000040,30,비수도권,SKU0001,8,normal
ORD000041,3,수도권,SKU0055,21,normal
ORD000042,1,수도권,SKU0038,1,normal
ORD000043,33,비수도권,SKU0082,3,normal
ORD000044,7,수도권,SKU0080,10,normal
ORD000045,3,수도권,SKU0044,9,normal
ORD000046,14,수도권,SKU0022,4,normal
ORD000047,2,수도권,SKU0043,15,normal
ORD000048,79,비수도권,SKU0065,5,normal
ORD000049,1,수도권,SKU0020,4,normal
ORD000050,25,비수도권,SKU0078,12,normal
ORD000051,16,수도권,SKU0034,8,normal
ORD000052,41,비수도권,SKU0094,9,normal
ORD000053,12,수도권,SKU0052,1,normal
ORD000054,6,수도권,SKU0085,14,normal
ORD000055,96,비수도권,SKU0062,11,normal
ORD000056,71,비수도권,SKU0056,11,normal
ORD000057,75,비수도권,SKU0069,2,normal
ORD000058,9,수도권,SKU0082,14,normal
ORD000059,2,수도권,SKU0065,18,normal
ORD000060,11,수도권,SKU0080,12,normal
ORD000061,19,수도권,SKU0020,2,normal
ORD000062,12,수도권,SKU0028,12,normal
ORD000063,69,비수도권,SKU0023,21,normal
ORD000064,10,수도권,SKU0080,23,normal
ORD000065,93,비수도권,SKU0009,4,normal
ORD000066,16,수도권,SKU0080,10,normal
ORD000067,71,비수도권,SKU0039,21,normal
ORD000068,7,수도권,SKU0008,16,normal
ORD000069,15,수도권,SKU0043,18,normal
ORD000070,46,비수도권,SKU0031,19,normal
ORD000071,5,수도권,SKU0060,22,normal
ORD000072,5,수도권,SKU0048,11,normal
ORD000073,94,비수도권,SKU0030,4,normal
ORD000074,49,비수도권,SKU0087,16,normal
ORD000075,2,수도권,SKU0041,18,normal
ORD000076,14,수도권,SKU0048,10,normal
ORD000077,15,수도권,SKU0085,1,normal
ORD000078,54,비수도권,SKU0009,5,normal
ORD000079,9,수도권,SKU0039,20,normal
ORD000080,7,수도권,SKU0041,2,normal
ORD000081,3,수도권,SKU0050,14,normal
ORD000082,15,수도권,SKU0011,17,normal
ORD000083,44,비수도권,SKU0011,16,normal
ORD000084,3,수도권,SKU0042,14,normal
ORD000085,84,비수도권,SKU0004,1,normal
ORD000086,16,수도권,SKU0026,4,normal
ORD000087,9,수도권,SKU0021,4,normal
ORD000088,4,수도권,SKU0049,8,normal
ORD000089,7,수도권,SKU0002,5,normal
ORD000090,88,비수도권,SKU0068,18,normal
ORD000091,35,비수도권,SKU0086,9,normal
ORD000092,18,수도권,SKU0071,18,normal
ORD000093,39,비수도권,SKU0082,18,normal
ORD000094,16,수도권,SKU0065,15,normal
ORD000095,52,비수도권,SKU0051,11,normal
ORD000096,2,수도권,SKU0022,23,normal
ORD000097,22,비수도권,SKU0028,8,normal
ORD000098,6,수도권,SKU0032,2,normal
ORD000099,5,수도권,SKU0004,16,normal
ORD000100,12,수도권,SKU0092,23,normal
ORD000101,4,수도권,SKU0091,9,normal
ORD000102,4,수도권,SKU0011,17,normal
ORD000103,11,수도권,SKU0056,6,normal
ORD000104,96,비수도권,SKU0047,6,normal
ORD000105,7,수도권,SKU0069,8,normal
ORD000106,1,수도권,SKU0061,15,normal
ORD000107,57,비수도권,SKU0013,23,normal
ORD000108,65,비수도권,SKU0067,10,normal
ORD000109,12,수도권,SKU0061,8,normal
ORD000110,17,수도권,SKU0054,0,normal
ORD000111,37,비수도권,SKU0041,11,normal
ORD000112,2,수도권,SKU0096,2,normal
ORD000113,90,비수도권,SKU0085,19,normal
ORD000114,79,비수도권,SKU0059,18,normal
ORD000115,10,수도권,SKU0001,7,normal
ORD000116,1,수도권,SKU0044,6,normal
ORD000117,88,비수도권,SKU0071,4,normal
ORD000118,18,수도권,SKU0012,4,normal
ORD000119,19,수도권,SKU0041,19,normal
ORD000120,43,비수도권,SKU0020,4,normal
ORD000121,31,비수도권,SKU0034,11,normal
ORD000122,90,비수도권,SKU0003,20,normal
ORD000123,90,비수도권,SKU0013,19,normal
ORD000124,76,비수도권,SKU0046,4,normal
ORD000125,35,비수도권,SKU0090,22,normal
ORD000126,64,비수도권,SKU0050,6,normal
ORD000127,42,비수도권,SKU0046,0,normal
ORD000128,24,비수도권,SKU0079,18,normal
ORD000129,5,수도권,SKU0027,1,normal
ORD000130,66,비수도권,SKU0010,11,normal
ORD000131,68,비수도권,SKU0021,9,normal
ORD000132,33,비수도권,SKU0080,15,normal
