order_id,postal_prefix,region,sku_id,order_hour,scenario
ORD000000,3,수도권,SKU0099,12,peak
ORD000001,19,수도권,SKU0084,8,peak
ORD000002,40,비수도권,SKU0038,8,peak
ORD000003,64,비수도권,SKU0049,8,peak
ORD000004,14,수도권,SKU0013,18,peak
ORD000005,9,수도권,SKU0050,8,peak
ORD000006,17,수도권,SKU0048,13,peak
ORD000007,17,수도권,SKU0044,11,peak
ORD000008,1,수도권,SKU0041,10,peak
ORD000009,83,비수도권,SKU0002,6,peak
ORD000010,18,수도권,SKU0011,8,peak
ORD000011,1,수도권,SKU0022,10,peak
ORD000012,89,비수도권,SKU0039,14,peak
ORD000013,87,비수도권,SKU0065,3,peak
ORD000014,85,비수도권,SKU0011,11,peak
ORD000015,70,비수도권,SKU0079,11,peak
ORD000016,6,수도권,SKU0046,7,peak
ORD000017,93,비수도권,SKU0011,11,peak
ORD000018,36,비수도권,SKU0073,7,peak
ORD000019,18,수도권,SKU0001,12,peak
ORD000020,84,비수도권,SKU0085,10,peak
ORD000021,11,수도권,SKU0089,9,peak
ORD000022,81,비수도권,SKU0066,8,peak
ORD000023,17,수도권,SKU0085,17,peak
ORD000024,16,수도권,SKU0037,12,peak
ORD000025,18,수도권,SKU0091,7,peak
ORD000026,34,비수도권,SKU0014,16,peak
ORD000027,13,수도권,SKU0043,9,peak
ORD000028,94,비수도권,SKU0038,12,peak
ORD000029,3,수도권,SKU0086,11,peak
ORD000030,77,비수도권,SKU0005,10,peak
ORD000031,18,수도권,SKU0048,1,peak
ORD000032,75,비수도권,SKU0057,0,peak
ORD000033,11,수도권,SKU0063,14,peak
ORD000034,54,비수도권,SKU0031,15,peak
ORD000035,17,수도권,SKU0096,14,peak
ORD000036,54,비수도권,SKU0092,12,peak
ORD000037,9,수도권,SKU0047,19,peak
ORD000038,77,비수도권,SKU0088,7,peak
ORD000039,79,비수도권,SKU0039,12,peak
ORD000040,13,수도권,SKU0010,13,peak
ORD000041,11,수도권,SKU0018,12,peak
ORD000042,16,수도권,SKU0078,13,peak
ORD000043,6,수도권,SKU0027,12,peak
ORD000044,14,수도권,SKU0086,11,peak
ORD000045,72,비수도권,SKU0090,7,peak
ORD000046,10,수도권,SKU0022,6,peak
ORD000047,29,비수도권,SKU0001,10,peak
ORD000048,17,수도권,SKU0041,19,peak
ORD000049,8,수도권,SKU0001,9,peak
ORD000050,15,수도권,SKU0025,0,peak
ORD000051,60,비수도권,SKU0051,15,peak
ORD000052,16,수도권,SKU0046,12,peak
ORD000053,19,수도권,SKU0064,13,peak
ORD000054,40,비수도권,SKU0003,14,peak
ORD000055,2,수도권,SKU0048,8,peak
ORD000056,2,수도권,SKU0042,11,peak
ORD000057,4,수도권,SKU0025,10,peak
ORD000058,5,수도권,SKU0069,9,peak
ORD000059,49,비수도권,SKU0033,16,peak
ORD000060,12,수도권,SKU0050,23,peak
ORD000061,6,수도권,SKU0020,17,peak
ORD000062,15,수도권,SKU0018,7,peak
ORD000063,36,비수도권,SKU0057,12,peak
ORD000064,4,수도권,SKU0009,8,peak
ORD000065,10,수도권,SKU0093,7,peak
ORD000066,6,수도권,SKU0098,22,peak
ORD000067,18,수도권,SKU0014,17,peak
ORD000068,4,수도권,SKU0018,12,peak
ORD000069,41,비수도권,SKU0052,10,peak
ORD000070,6,수도권,SKU0028,12,peak
ORD000071,2,수도권,SKU0027,11,peak
ORD000072,76,비수도권,SKU0069,8,peak
ORD000073,10,수도권,SKU0078,16,peak
ORD000074,14,수도권,SKU0050,17,peak
ORD000075,3,수도권,SKU0026,13,peak
ORD000076,14,수도권,SKU0091,8,peak
ORD000077,7,수도권,SKU0071,18,peak
ORD000078,57,비수도권,SKU0067,18,peak
ORD000079,23,비수도권,SKU0064,9,peak
ORD000080,19,수도권,SKU0089,10,peak
ORD000081,41,비수도권,SKU0018,9,peak
ORD000082,8,수도권,SKU0061,14,peak
ORD000083,13,수도권,SKU0051,10,peak
ORD000084,3,수도권,SKU0050,11,peak
ORD000085,2,수도권,SKU0013,13,peak
ORD000086,9,수도권,SKU0018,13,peak
ORD000087,52,비수도권,SKU0055,9,peak
ORD000088,17,수도권,SKU0027,5,peak
ORD000089,12,수도권,SKU0095,16,peak
ORD000090,91,비수도권,SKU0020,4,peak
ORD000091,13,수도권,SKU0056,4,peak
ORD000092,13,수도권,SKU0043,18,peak
ORD000093,98,비수도권,SKU0057,11,peak
ORD000094,4,수도권,SKU0049,11,peak
ORD000095,7,수도권,SKU0026,10,peak
ORD000096,13,수도권,SKU0095,8,peak
ORD000097,16,수도권,SKU0013,7,peak
ORD000098,5,수도권,SKU0011,18,peak
ORD000099,9,수도권,SKU0095,19,peak
ORD000100,6,수도권,SKU0043,16,peak
ORD000101,59,비수도권,SKU0045,12,peak
ORD000102,55,비수도권,SKU0024,19,peak
ORD000103,7,수도권,SKU0053,10,peak
ORD000104,12,수도권,SKU0023,13,peak
ORD000105,18,수도권,SKU0095,7,peak
ORD000106,2,수도권,SKU0010,11,peak
ORD000107,68,비수도권,SKU0036,16,peak
ORD000108,14,수도권,SKU0052,8,peak
ORD000109,7,수도권,SKU0087,12,peak
ORD000110,11,수도권,SKU0004,20,peak
ORD000111,73,비수도권,SKU0056,0,peak
ORD000112,1,수도권,SKU0014,8,peak
ORD000113,4,수도권,SKU0010,10,peak
ORD000114,6,수도권,SKU0095,16,peak
ORD000115,2,수도권,SKU0003,12,peak
ORD000116,7,수도권,SKU0027,19,peak
ORD000117,51,비수도권,SKU0094,10,peak
ORD000118,15,수도권,SKU0038,9,peak
ORD000119,17,수도권,SKU0037,15,peak
ORD000120,5,수도권,SKU0031,17,peak
ORD000121,8,수도권,SKU0026,17,peak
ORD000122,77,비수도권,SKU0019,9,peak
ORD000123,6,수도권,SKU0024,7,peak
ORD000124,75,비수도권,SKU0004,10,peak
ORD000125,19,수도권,SKU0036,9,peak
ORD000126,14,수도권,SKU0005,16,peak
ORD000127,5,수도권,SKU0062,11,peak
ORD000128,19,수도권,SKU0080,13,peak
ORD000129,69,비수도권,SKU0016,7,peak
ORD000130,5,수도권,SKU0081,20,peak
ORD000131,1,수도권,SKU0006,21,peak
ORD000132,30,비수도권,SKU0043,9,peak
ORD000133,17,수도권,SKU0085,10,peak
ORD000134,14,수도권,SKU0071,16,peak
ORD000135,13,수도권,SKU0040,4,peak
ORD000136,14,수도권,SKU0072,8,peak
ORD000137,11,수도권,SKU0009,16,peak
